Date,Close,Open,High,Low,Vol.
24-Jun-25,356.2,352.6,356.2,356.2,2.45M
23-Jun-25,352.6,355.9,352.6,352.6,1.53M
20-Jun-25,355.9,355.9,355.9,355.9,5.33M
19-Jun-25,355.9,350,355.9,355,5.81M
18-Jun-25,350,334,350,340,2.67M
17-Jun-25,334,326,334,334,2.71M
16-Jun-25,326,325,326,325,3.54M
13-Jun-25,325,320,325,325,1.91M
11-Jun-25,320,310,320,320,4.38M
10-Jun-25,310,319.2,310,310,1.40M
05-Jun-25,319.2,290.2,319.2,298,5.62M
04-Jun-25,290.2,290.2,290.2,290.2,1.04M
03-Jun-25,290.2,289,290.2,290.2,2.71M
02-Jun-25,289,280.1,289,289,2.17M
30-May-25,280.1,275,281.1,275,14.03M
29-May-25,275,275,275,275,7.41M
28-May-25,275,270,275,275,17.68M
27-May-25,270,270,270,270,1.02M
26-May-25,270,270,270,270,440.40K
23-May-25,270,275,275,270,15.87M
22-May-25,275,275,275,275,8.59M
21-May-25,275,275,275,275,763.11K
20-May-25,275,275,275,275,3.58M
19-May-25,275,278,275,275,2.03M
16-May-25,278,278,278,278,1.95M
15-May-25,278,278,278,278,12.45M
14-May-25,278,279,279,275,20.22M
13-May-25,279,279,279,279,510.55K
12-May-25,279,284.9,279,279,16.10M
09-May-25,284.9,284.9,284.9,284.9,1.40M
08-May-25,284.9,284.9,284.9,284.9,2.47M
07-May-25,284.9,284.9,284.9,284.9,2.87M
06-May-25,284.9,261,284.9,280,2.44M
05-May-25,261,255,261,257,3.38M
02-May-25,255,250,255,249,6.73M
30-Apr-25,250,240,250,245,14.69M
29-Apr-25,240,255.5,250,240,86.85M
28-Apr-25,255.5,255.5,255.5,255.5,2.21M
25-Apr-25,255.5,245,259.9,248,32.97M
24-Apr-25,245,239,245,243,5.85M
23-Apr-25,239,242,239.3,239,10.04M
22-Apr-25,242,242,242,242,473.94K
17-Apr-25,242,243,242,241.9,6.04M
16-Apr-25,243,243,243,243,897.55K
15-Apr-25,243,243.4,243,240.9,11.30M
14-Apr-25,243.4,235,243.4,243.4,869.96K
11-Apr-25,235,245,235,230,5.99M
10-Apr-25,245,245,245,245,6.02M
09-Apr-25,245,245,245,245,5.17M
08-Apr-25,245,245,245,245,560.14K
07-Apr-25,245,245,245,245,847.02K
04-Apr-25,245,245,245,245,1.48M
03-Apr-25,245,245,245,245,410.05K
02-Apr-25,245,245,245,245,5.86M
28-Mar-25,245,245,245,245,426.42K
27-Mar-25,245,238.4,245,244.5,4.10M
26-Mar-25,238.4,245,238.4,238.4,2.49M
25-Mar-25,245,245,245,245,1.88M
24-Mar-25,245,245,245,245,677.25K
21-Mar-25,245,245,245,245,4.40M
20-Mar-25,245,245,245,245,477.98K
19-Mar-25,245,245,245,245,3.60M
18-Mar-25,245,245,245,245,2.09M
17-Mar-25,245,245,245,245,5.36M
14-Mar-25,245,245,245,245,5.17M
13-Mar-25,245,245,245,245,1.11M
12-Mar-25,245,245,245.8,245,10.96M
11-Mar-25,245,255.8,245,245,1.49M
10-Mar-25,255.8,255.8,255.8,255.8,556.10K
07-Mar-25,255.8,264.2,255.8,247.6,863.12K
06-Mar-25,264.2,264.2,264.2,264.2,399.27K
05-Mar-25,264.2,264.2,264.2,264.2,1.12M
04-Mar-25,264.2,264.2,264.2,264.2,1.29M
03-Mar-25,264.2,264.2,264.2,264.2,1.10M
28-Feb-25,264.2,264.2,264.2,264.2,2.25M
27-Feb-25,264.2,264.2,264.2,264.2,151.78K
26-Feb-25,264.2,264.2,264.2,264.2,273.18K
25-Feb-25,264.2,264.2,264.2,264.2,872.31K
24-Feb-25,264.2,264.2,264.2,264.2,2.01M
21-Feb-25,264.2,264.2,264.2,264.2,405.98K
20-Feb-25,264.2,264.2,264.2,264.2,231.76K
19-Feb-25,264.2,264.2,264.2,264.2,1.33M
18-Feb-25,264.2,264.2,264.2,264.2,1.21M
17-Feb-25,264.2,264.2,264.2,264.2,1.78M
14-Feb-25,264.2,255,264.2,264.2,1.08M
13-Feb-25,255,255,255,255,484.22K
12-Feb-25,255,255,255,255,1.49M
11-Feb-25,255,255,255,255,547.33K
10-Feb-25,255,255,255,255,679.13K
07-Feb-25,255,255,255,255,629.29K
06-Feb-25,255,255,255,255,1.24M
05-Feb-25,255,255,255.5,255,5.46M
04-Feb-25,255,253.1,255,255,1.49M
03-Feb-25,253.1,250,254,251,2.85M
31-Jan-25,250,250,250,250,338.74K
30-Jan-25,250,250,250,250,1.10M
29-Jan-25,250,250,250,250,1.24M
28-Jan-25,250,250,250,250,3.46M
27-Jan-25,250,247.9,250,250,2.07M
24-Jan-25,247.9,245,247.9,247.9,1.53M
23-Jan-25,245,247,246.9,240.1,3.41M
22-Jan-25,247,256.3,247,247,2.14M
21-Jan-25,256.3,233,256.3,256.3,6.52M
20-Jan-25,233,233,233,227,3.73M
17-Jan-25,233,233,233,233,1.12M
16-Jan-25,233,233,233,233,1.92M
15-Jan-25,233,233,233,233,1.49M
14-Jan-25,233,242,233,233,1.46M
13-Jan-25,242,242,242,242,557.37K
10-Jan-25,242,242,242,242,2.28M
09-Jan-25,242,220,242,242,4.81M
08-Jan-25,220,200,220,207,1.91M
07-Jan-25,200,200,200,200,1.15M
06-Jan-25,200,200,204.8,200,1.86M
03-Jan-25,200,200,200,200,1.12M
02-Jan-25,200,200,200,200,793.99K
31-Dec-24,200,207.8,200.9,200,1.80M
30-Dec-24,207.8,194,207.8,207.8,3.13M
27-Dec-24,194,194,194,194,2.13M
24-Dec-24,194,178,194,194,1.58M
23-Dec-24,178,175.5,180,178,3.32M
20-Dec-24,175.5,175.5,175.5,175.5,2.54M
19-Dec-24,175.5,175,175.5,175.5,1.38M
18-Dec-24,175,175,175,175,1.66M
17-Dec-24,175,175,175.1,175,2.95M
16-Dec-24,175,176,175,175,2.74M
13-Dec-24,176,176,176,176,332.15K
12-Dec-24,176,176,176,176,350.14K
